Index,Date,Stars,Title,Review
107,"October 2, 2020",4.0,Good headphones but not for all audiences.,"  He suffers from big headaches, I really don't think it's the airpods I think it's the technology behind it.and they are no longer just headaches, there are even some that cause mild nausea.  ... The question is no longer whether the Air boxes are the cause of these evils, but the radiation that can be associated with a device that is wireless and that is placed in an area very close to the brain."
108,"October 2, 2020",4.0,Great for listening and working out not for phone calls,  I bought these instead of the Pros. Worht it tbh. The only thing that i dont like is the microphone on them. If you wanna use them to try and talk to someone one the phone good luck.
109,"October 2, 2020",5.0,Great,  This was a great purchase. They are absolutely wonderful. I would buy another pair for my son.
110,"October 2, 2020",1.0,JUST BUY FROM APPLE,  My airpods barely lasted a month. They are constantly going out randomly not working. It sounds like the wiring inside is bad and the head phones just give out. Please don't waste your money and buy directly from apple!I wish I would have taken the reviews about these being fake more seriously because they probably are... Wish I could return!!!!!
111,"October 2, 2020",5.0,Great airpods:),"  Worked great, no issues!"
112,"October 2, 2020",4.0,Best to order with case when getting the AirPods,  Really happy 😊
113,"October 2, 2020",5.0,Great gift,  I got these as a gift and he says they work very well.
114,"October 2, 2020",1.0,Poor sound quality.,  Not what I thought they were. Other brands sound a lot better.
115,"October 2, 2020",5.0,Amazing product,  Really nice quality and the sound is great!
116,"October 2, 2020",5.0,Love these AirPods the best ones out there!,  Love these AirPods the best ones out there!
117,"October 2, 2020",5.0,Wish I would have bought them earlier!,  I use these daily for my cardio and love them! I’ve gotten so used to using them for work so I am hands free. Easy to connect and set up and sound is great!
118,"October 1, 2020",4.0,Good buy,  Definitely a good buy. They have worked great. I use them all the time. Only complaint is they did come a little dirty. The inside of the case had some dust and grime in it. I just cleaned the case really well and wiped down the pods. Love them.
119,"October 1, 2020",5.0,Very nice,  Very nice
120,"October 1, 2020",5.0,Feliz,  Excelente
121,"October 1, 2020",5.0,"Clear, light weight and good sound quality",  I was tired of wired earphones and bought this to attend my online classes with more concentration. Though they do not have noise cancellation but audio is really crisp and clear. Battery life in one go is enough to attend a 2.5 hrs session. Overall I am liking it as they are super light and doesn’t fall from years. Recommended for online classes and video calls.
122,"October 1, 2020",5.0,Good quality.!!,"  I love these headphones, The quality of the mic and audio are beyond what I was expecting. These actually turned out to be a very impressive set of headphones that I use daily."
123,"October 1, 2020",3.0,AIRPODS,  Nothing particularly special here. They work.
124,"October 1, 2020",5.0,Works as expected,  Works as expected
125,"October 1, 2020",5.0,Great product,  Works great
126,"October 1, 2020",5.0,Working properly,  Love it!
127,"October 1, 2020",3.0,Not worth,  Ordered twice both the times recieved faulty charging case. Really disappointed with the product.
128,"October 1, 2020",5.0,Great job on my order,  My kid is very happy with her new air pods
129,"October 1, 2020",5.0,The Best,  These are by far the Best Pods to use with Iphone's. Don't waste money (like I have) on after-market brands. These do the job and are comfortable as well.
130,"October 1, 2020",5.0,What i was looking for,  Very good and reliable
131,"October 1, 2020",5.0,Great,  They were good as expected mine are as good as new and I ordered them around Christmas
132,"October 1, 2020",5.0,Dope,  So worth it the sound quality is crazy good
133,"September 30, 2020",1.0,Broke within 2 months,  My left earbud is out and cannot be fixed. SO disappointed in what happened since these are SO PRICY!
134,"September 30, 2020",5.0,Highly recommended!!!,  The sound is excellent!! Highly recommended.
135,"September 30, 2020",3.0,They fall out,  Great except the Left one falls out. Fell out getting into my car. Fell out multiple times as I ate dinner. I really wanted to like these but if I’m always afraid one will just fall out then what good are they?
136,"September 30, 2020",5.0,Real Apple Airpods at a decent price.,  I don't understand why there are reviews saying these are fake. They're the real deal. Nothing too fancy. A great deal for the 2nd gen Airpods. I like these better than the Airpod Pro. They fit my ear better and for $100 less the sound quality is almost exactly the same. At this price they're definitely worth the money.
137,"September 30, 2020",1.0,False Advertising - Version 1 NOT version 2,  I researched the specs and read the comments to make sure these were version 2 before I ordered them.  What I received was NOT version 2 but was the version 1.
138,"September 30, 2020",2.0,Not worth the price,  Don’t buy won’t last longer than a month.
139,"September 30, 2020",4.0,"Convenient, great sounds",  Loved it!
140,"September 29, 2020",5.0,Amazing,  I love these!! I accidentally washed my AirPods and they worked perfectly fine. The sound is awesome!
141,"September 29, 2020",2.0,Unfortunate,  The left AirPod broke after one day of usage.
142,"September 29, 2020",5.0,Sooo convenient.,  Noise cancellation is only fair.
143,"September 29, 2020",5.0,airpod,  very good thank you amazon
144,"September 29, 2020",5.0,Lightweight and Comfortable,  Talking and listening to music.
145,"September 29, 2020",5.0,Quality,  I bought it for gift and they are amazing.
146,"September 29, 2020",3.0,Airpods,  My Left one went out
147,"September 29, 2020",5.0,Nice Buds...,"  I like these air buds, the fit nicely, the battery life is very good...when working out side I can still hear what is going on based on the volume that I have chosen... I have been able to Bluetooth these to my laptop, I-Pad and Android Galaxy Phone....So I am happy..."
148,"September 29, 2020",5.0,Amazing,"  Exactly like what you will get from the Apple store! Came in brand new nicely packaged and connected very easily to my phone. I have been using it so much and I'm obsessed with these, 100% recommend!"
149,"September 29, 2020",5.0,Worth it,  Apple is Apple
150,"September 29, 2020",5.0,Great Product!,  My daughter loves them! Great product.
151,"September 29, 2020",1.0,Air Pods not worth the money.,  I wish I would not have purchased these Air Pods.  The battery does not last very long.  I charge the Air Pods and they don't keep a charge.  The longest I have been able to use them is 1 hour.  This is definitely not worth the money.  Don't purchase!!!!!!
152,"September 29, 2020",5.0,My Son works for Apple and these are genuine,  My Son works for Apple as a Genius and he confirmed that these are GENUINE APPLE AIRPODS!!
